1500
DONNA, A10 (Silver, 8TB), -2, Mauritania, 65230358
AMY, N100H (Black, 8TB), -1, South Africa, 64941
PATRICIA, X100L (Black, 12TB), 3, Kuwait, 2026889313
MELISSA, X100L (Black, 2TB), -2, Australia, 1666162860
ANGELA, X100L (Silver, 12TB), -2, Morocco, 1935113344
MICHELLE, FLOW (Silver, 6TB), 1, Saudi Arabia, 892520735
KIMBERLY, X100L (Black, 2TB), 2, Russia, 197582061
PATRICIA, Cast-Fi 7 (Black, 8TB), -3, St Vincent, 2026889313
RUTH, W20 (Black, 2TB), 4, Aruba, 2527223
LAURA, N100H (Black, 4TB), -2, Burkina Faso, 72208303
JESSICA, W20 (Silver, 6TB), -2, Tunisia, 3305371564
MARIA, Cast-Fi 7 (Black, 8TB), -2, Gambia, 73128662
ELIZABETH, Cast-Fi 7 (Silver, 2TB), -2, Latvia, 2143727456
LISA, Cast-Fi 7 (Silver, 6TB), -1, Uzbekistan, 2336907
AMY, Cast-Fi 7 (Black, 2TB), -2, Liechtenstein, 64941
DEBORAH, N100H (Black, 4TB), 0, Ghana, 2035460949
RY, N10 (Black, 6TB), -3, Tunisia, 2631
MELISSA, Cast-Fi 7 (Black, 8TB), 1, Brunei, 1666162860
NANCY, X100L (Silver, 12TB), 4, St. Lucia, 74048177
PATRICIA, W20 (Silver, 8TB), 3, Argentina, 2026889313
MARIA, W20 (Silver, 4TB), -1, Peru, 73128662
DEBORAH, FLOW (Black, 6TB), -1, Serbia, 2035460949
DONNA, N10 (Black, 2TB), 0, St Vincent, 65230358
BARBARA, N10 (Black, 6TB), 0, Montenegro, 3910611679
BARBARA, A10 (Black, 8TB), 2, Libya, 3910611679
LINDA, W20 (Black, 4TB), -1, Gabon, 72439470
RUTH, W20 (Black, 4TB), 3, Cuba, 2527223
BARBARA, N100H (Silver, 12TB), 0, Poland, 3910611679
SHARON, Cast-Fi 7 (Black, 6TB), 1, Iceland, 1850236507
CAROL, FLOW (Black, 2TB), 2, Faroe Islands, 63893649
AMY, FLOW (Silver, 6TB), 0, Brazil, 64941
SHIRLEY, FLOW (Silver, 8TB), -2, Nicaragua, 2779595522
AMY, X100L (Silver, 2TB), 1, Hong Kong, 64941
ANGELA, N10 (Black, 8TB), -2, India, 1935113344
BRENDA, N10 (Black, 2TB), -3, Finland, 1967385398
LISA, N100H (Silver, 2TB), 3, Malaysia, 2336907
CAROL, N100H (Silver, 6TB), -3, Iraq, 63893649
DOROTHY, X100L (Black, 4TB), 1, Taiwan, 1734390947
SARAH, N100H (Silver, 6TB), -3, Liberia, 78669547
MARIA, W20 (Black, 2TB), 3, Austria, 73128662
SHARON, W20 (Black, 8TB), -1, Turkmenistan, 1850236507
MARIA, FLOW (Black, 12TB), 2, Estonia, 73128662
AMY, X100L (Black, 8TB), 4, Cape Verde, 64941
CYNTHIA, W20 (Silver, 12TB), 0, Pakistan, 2339159772
SARAH, Cast-Fi 7 (Black, 4TB), -3, Albania, 78669547
RY, N10 (Black, 4TB), 2, Equatorial Guinea, 2631
NANCY, N100H (Black, 4TB), 0, Paraguay, 74048177
NANCY, W20 (Silver, 4TB), 4, Nigeria, 74048177
RY, FLOW (Silver, 12TB), 4, Brunei, 2631
JENNIFER, A10 (Silver, 4TB), 1, Ireland, 5055424187
ELIZABETH, X100L (Black, 4TB), 2, Bhutan, 2143727456
CYNTHIA, X100L (Black, 4TB), 4, Bangladesh, 2339159772
CAROL, W20 (Silver, 4TB), 0, Cote D Ivoire, 63893649
BARBARA, N100H (Black, 12TB), 3, Jamaica, 3910611679
DEBORAH, N100H (Black, 2TB), -3, Guernsey, 2035460949
CAROL, N10 (Black, 8TB), 1, Cook Islands, 63893649
JENNIFER, N100H (Silver, 12TB), 4, Sudan, 5055424187
BRENDA, X100L (Silver, 12TB), 0, Fiji, 1967385398
RY, Cast-Fi 7 (Silver, 12TB), -3, Puerto Rico, 2631
BETTY, N100H (Silver, 4TB), 1, Oman, 63091382
DEBORAH, N10 (Silver, 8TB), -2, Dominica, 2035460949
BARBARA, FLOW (Black, 2TB), 1, Ghana, 3910611679
SANDRA, W20 (Silver, 12TB), 1, Italy, 1856327245
SARAH, A10 (Silver, 4TB), 1, Ecuador, 78669547
BARBARA, Cast-Fi 7 (Silver, 6TB), 3, Papua New Guinea, 3910611679
CAROL, Cast-Fi 7 (Black, 8TB), -2, Angola, 63893649
SUSAN, N100H (Silver, 8TB), 4, Denmark, 79266334
SARAH, A10 (Black, 6TB), 4, New Zealand, 78669547
RUTH, W20 (Silver, 8TB), 1, Zambia, 2527223
SHIRLEY, A10 (Black, 4TB), -3, Montserrat, 2779595522
BARBARA, W20 (Black, 8TB), 2, Turkey, 3910611679
SHARON, W20 (Silver, 6TB), -1, Chad, 1850236507
SUSAN, W20 (Silver, 2TB), -2, Lebanon, 79266334
BETTY, N100H (Black, 12TB), 2, Falkland Islands, 63091382
CAROL, N10 (Silver, 2TB), -3, Jersey, 63893649
MELISSA, FLOW (Black, 8TB), -1, Brunei, 1666162860
MARGARET, N100H (Silver, 8TB), -1, South Korea, 3269182743
DOROTHY, N10 (Silver, 2TB), -3, Guernsey, 1734390947
MELISSA, X100L (Black, 4TB), -1, Aruba, 1666162860
ANGELA, Cast-Fi 7 (Silver, 8TB), 0, Nigeria, 1935113344
BARBARA, W20 (Silver, 2TB), -1, Mauritania, 3910611679
NANCY, X100L (Silver, 4TB), -1, China, 74048177
KAREN, X100L (Black, 12TB), 0, Azerbaijan, 71281509
RY, FLOW (Black, 2TB), 3, Brazil, 2631
CAROL, N10 (Silver, 8TB), 3, Thailand, 63893649
RUTH, Cast-Fi 7 (Silver, 6TB), 1, Malawi, 2527223
JENNIFER, N10 (Black, 6TB), 1, Guinea Bissau, 5055424187
SUSAN, N10 (Silver, 6TB), 1, Poland, 79266334
BRENDA, Cast-Fi 7 (Silver, 2TB), -2, Ethiopia, 1967385398
LISA, W20 (Black, 2TB), -2, Hungary, 2336907
DEBORAH, Cast-Fi 7 (Black, 2TB), 3, Bermuda, 2035460949
PATRICIA, A10 (Silver, 4TB), -2, Seychelles, 2026889313
BETTY, FLOW (Black, 6TB), 0, Ireland, 63091382
SHIRLEY, Cast-Fi 7 (Silver, 8TB), 3, Cameroon, 2779595522
NANCY, A10 (Silver, 12TB), 4, Algeria, 74048177
PATRICIA, W20 (Black, 6TB), 2, Qatar, 2026889313
DEBORAH, N10 (Silver, 4TB), 0, Guinea, 2035460949
MELISSA, Cast-Fi 7 (Black, 2TB), 0, Dominican Republic, 1666162860
AMY, N100H (Black, 6TB), 4, Ghana, 64941
MELISSA, N100H (Black, 6TB), -3, Bulgaria, 1666162860
MICHELLE, Cast-Fi 7 (Silver, 6TB), 0, Afghanistan, 892520735
KAREN, X100L (Black, 2TB), 0, Slovenia, 71281509
KAREN, W20 (Silver, 2TB), -2, Indonesia, 71281509
LAURA, N100H (Black, 4TB), 0, Sudan, 72208303
MELISSA, N10 (Black, 8TB), -1, St Vincent, 1666162860
CYNTHIA, N10 (Silver, 2TB), 3, Brazil, 2339159772
CYNTHIA, N10 (Silver, 4TB), 4, French Polynesia, 2339159772
ELIZABETH, FLOW (Black, 8TB), -1, Afghanistan, 2143727456
CYNTHIA, N100H (Black, 8TB), -3, Finland, 2339159772
KIMBERLY, W20 (Silver, 12TB), -3, El Salvador, 197582061
NANCY, Cast-Fi 7 (Silver, 8TB), -2, Hong Kong, 74048177
KAREN, X100L (Black, 6TB), -1, Senegal, 71281509
SUSAN, N100H (Black, 8TB), 0, Belgium, 79266334
SHIRLEY, FLOW (Silver, 12TB), 4, Barbados, 2779595522
RY, W20 (Black, 4TB), 4, French Polynesia, 2631
BRENDA, N10 (Silver, 12TB), -3, Anguilla, 1967385398
BETTY, A10 (Black, 4TB), 0, Timor L'Este, 63091382
LAURA, Cast-Fi 7 (Silver, 8TB), 4, Kyrgyz Republic, 72208303
CYNTHIA, Cast-Fi 7 (Silver, 6TB), 0, Liberia, 2339159772
SHIRLEY, FLOW (Silver, 6TB), 4, France, 2779595522
SUSAN, W20 (Silver, 12TB), -1, Cyprus, 79266334
KIMBERLY, N100H (Black, 4TB), 1, Aruba, 197582061
DONNA, N100H (Silver, 8TB), 2, Kazakhstan, 65230358
KAREN, FLOW (Black, 6TB), 2, Mexico, 71281509
KAREN, FLOW (Silver, 2TB), -2, Maldives, 71281509
DOROTHY, W20 (Silver, 8TB), -1, Guinea Bissau, 1734390947
KIMBERLY, FLOW (Silver, 12TB), -1, South Africa, 197582061
KIMBERLY, N100H (Silver, 8TB), -2, Latvia, 197582061
RY, A10 (Black, 4TB), -3, Egypt, 2631
KIMBERLY, N10 (Silver, 6TB), -1, Brazil, 197582061
MARGARET, X100L (Black, 8TB), -3, Luxembourg, 3269182743
BETTY, N100H (Silver, 6TB), 3, Tunisia, 63091382
CYNTHIA, N100H (Black, 4TB), -2, Pakistan, 2339159772
JESSICA, W20 (Silver, 2TB), 1, Greece, 3305371564
AMY, Cast-Fi 7 (Black, 8TB), -3, Swaziland, 64941
CYNTHIA, Cast-Fi 7 (Silver, 12TB), 4, Malaysia, 2339159772
ANGELA, N100H (Black, 4TB), -1, Antigua &amp; Barbuda, 1935113344
MARGARET, A10 (Black, 6TB), 1, Colombia, 3269182743
DOROTHY, N10 (Silver, 2TB), 1, Guyana, 1734390947
ELIZABETH, A10 (Silver, 12TB), 2, Saint Pierre &amp; Miquelon, 2143727456
MARGARET, N100H (Black, 4TB), 0, South Africa, 3269182743
ELIZABETH, FLOW (Silver, 2TB), -3, Spain, 2143727456
MELISSA, X100L (Silver, 4TB), -2, New Zealand, 1666162860
KIMBERLY, N10 (Silver, 6TB), 1, China, 197582061
AMY, A10 (Silver, 12TB), 2, Angola, 64941
KAREN, N10 (Silver, 2TB), -2, Libya, 71281509
RUTH, A10 (Black, 2TB), -2, Niger, 2527223
LISA, N100H (Black, 12TB), -3, Sweden, 2336907
NANCY, N10 (Silver, 2TB), 4, Cruise Ship, 74048177
KAREN, Cast-Fi 7 (Silver, 8TB), 4, French Polynesia, 71281509
DOROTHY, Cast-Fi 7 (Silver, 6TB), 4, St Kitts &amp; Nevis, 1734390947
MICHELLE, A10 (Silver, 12TB), -2, Rwanda, 892520735
LISA, W20 (Black, 6TB), -2, Macau, 2336907
BRENDA, N10 (Silver, 4TB), 1, Botswana, 1967385398
CYNTHIA, N100H (Black, 4TB), 4, Uruguay, 2339159772
DONNA, Cast-Fi 7 (Black, 2TB), 3, Bulgaria, 65230358
DEBORAH, W20 (Silver, 12TB), 1, Mozambique, 2035460949
HELEN, Cast-Fi 7 (Black, 6TB), 1, St. Lucia, 68624344
DONNA, X100L (Silver, 2TB), 1, Namibia, 65230358
KIMBERLY, N100H (Black, 4TB), -1, Georgia, 197582061
BRENDA, Cast-Fi 7 (Silver, 4TB), 2, Guinea Bissau, 1967385398
RY, A10 (Silver, 2TB), 2, Tunisia, 2631
LINDA, W20 (Silver, 12TB), -1, El Salvador, 72439470
LISA, N100H (Black, 6TB), -2, Serbia, 2336907
RY, N10 (Silver, 4TB), 4, Mozambique, 2631
KIMBERLY, W20 (Black, 2TB), -2, St Vincent, 197582061
CAROL, N10 (Silver, 2TB), 4, Macau, 63893649
PATRICIA, A10 (Silver, 4TB), 1, Netherlands, 2026889313
DONNA, X100L (Silver, 2TB), -2, Zimbabwe, 65230358
ELIZABETH, X100L (Silver, 4TB), 2, Greenland, 2143727456
DOROTHY, FLOW (Silver, 12TB), 4, Guinea, 1734390947
HELEN, FLOW (Silver, 12TB), -3, French Polynesia, 68624344
CYNTHIA, N100H (Black, 6TB), -2, Senegal, 2339159772
MARIA, N100H (Silver, 8TB), -1, St. Lucia, 73128662
SUSAN, A10 (Black, 6TB), -2, Isle of Man, 79266334
MARIA, X100L (Black, 6TB), 3, Guernsey, 73128662
ELIZABETH, W20 (Silver, 6TB), -2, Algeria, 2143727456
CYNTHIA, W20 (Silver, 2TB), 0, Armenia, 2339159772
PATRICIA, FLOW (Silver, 2TB), 2, Czech Republic, 2026889313
SARAH, FLOW (Silver, 12TB), 1, Malta, 78669547
KAREN, A10 (Black, 2TB), 4, Dominican Republic, 71281509
MELISSA, A10 (Black, 4TB), 4, Ireland, 1666162860
LISA, Cast-Fi 7 (Black, 12TB), -1, Cuba, 2336907
MICHELLE, W20 (Silver, 8TB), 3, Anguilla, 892520735
LISA, N10 (Silver, 8TB), 3, Israel, 2336907
DOROTHY, A10 (Black, 4TB), 1, Bolivia, 1734390947
SHARON, W20 (Silver, 8TB), 0, Lithuania, 1850236507
AMY, X100L (Black, 2TB), 3, Cape Verde, 64941
CYNTHIA, N100H (Black, 2TB), -1, Colombia, 2339159772
BETTY, N10 (Silver, 6TB), 4, Jamaica, 63091382
SANDRA, A10 (Silver, 4TB), 3, St Lucia, 1856327245
JESSICA, A10 (Silver, 12TB), 1, Trinidad &amp; Tobago, 3305371564
BARBARA, N100H (Black, 2TB), -2, Suriname, 3910611679
LISA, W20 (Black, 2TB), 1, Grenada, 2336907
LISA, X100L (Black, 8TB), 1, Montenegro, 2336907
SHIRLEY, A10 (Black, 6TB), 1, India, 2779595522
ELIZABETH, N10 (Silver, 4TB), -3, Italy, 2143727456
DOROTHY, A10 (Black, 4TB), 3, Afghanistan, 1734390947
ELIZABETH, N10 (Black, 6TB), 0, Turkey, 2143727456
AMY, A10 (Silver, 2TB), 1, Saint Pierre &amp; Miquelon, 64941
ELIZABETH, FLOW (Silver, 2TB), -3, San Marino, 2143727456
MICHELLE, W20 (Silver, 12TB), 4, Gambia, 892520735
SHARON, W20 (Black, 8TB), -3, Cameroon, 1850236507
RUTH, X100L (Silver, 6TB), 0, Dominica, 2527223
RUTH, FLOW (Black, 4TB), 3, San Marino, 2527223
MARIA, W20 (Silver, 2TB), -1, Saint Pierre &amp; Miquelon, 73128662
DEBORAH, W20 (Silver, 6TB), 3, Bangladesh, 2035460949
PATRICIA, A10 (Black, 4TB), -1, Zambia, 2026889313
BETTY, X100L (Silver, 8TB), -2, Iceland, 63091382
KAREN, W20 (Black, 2TB), -3, Sudan, 71281509
RY, X100L (Silver, 6TB), -3, Zambia, 2631
CYNTHIA, W20 (Silver, 2TB), 1, Italy, 2339159772
JESSICA, Cast-Fi 7 (Black, 6TB), 0, St Kitts &amp; Nevis, 3305371564
CYNTHIA, A10 (Black, 2TB), 2, Netherlands Antilles, 2339159772
HELEN, FLOW (Silver, 2TB), -2, Thailand, 68624344
DONNA, Cast-Fi 7 (Black, 12TB), 2, Grenada, 65230358
RY, N100H (Black, 4TB), 1, Gibraltar, 2631
MARIA, N100H (Silver, 6TB), 0, Malta, 73128662
KIMBERLY, N100H (Black, 4TB), -2, Chad, 197582061
KAREN, N100H (Silver, 8TB), 4, New Zealand, 71281509
MELISSA, W20 (Silver, 12TB), 4, Dominica, 1666162860
ANGELA, N10 (Black, 8TB), -2, Germany, 1935113344
SHARON, FLOW (Black, 2TB), -1, Ireland, 1850236507
SUSAN, FLOW (Silver, 6TB), -2, Mali, 79266334
MELISSA, Cast-Fi 7 (Black, 2TB), 2, Norway, 1666162860
MARGARET, X100L (Silver, 6TB), -1, Ethiopia, 3269182743
ELIZABETH, A10 (Silver, 2TB), 1, United Kingdom, 2143727456
BARBARA, X100L (Silver, 8TB), -2, Uzbekistan, 3910611679
LISA, N10 (Silver, 2TB), 4, Sudan, 2336907
DEBORAH, W20 (Black, 4TB), 0, Uganda, 2035460949
HELEN, X100L (Black, 8TB), 4, San Marino, 68624344
SHARON, X100L (Black, 8TB), 0, Sweden, 1850236507
SARAH, N100H (Black, 8TB), -1, Cambodia, 78669547
LAURA, Cast-Fi 7 (Black, 2TB), 0, Pakistan, 72208303
BRENDA, N100H (Black, 8TB), -1, Qatar, 1967385398
HELEN, N100H (Black, 8TB), 4, Israel, 68624344
ANGELA, A10 (Black, 4TB), -2, Macau, 1935113344
MICHELLE, FLOW (Black, 12TB), 1, Burkina Faso, 892520735
DEBORAH, N10 (Silver, 8TB), -1, Portugal, 2035460949
MELISSA, N10 (Silver, 12TB), 0, Netherlands, 1666162860
DEBORAH, W20 (Silver, 8TB), 3, Zimbabwe, 2035460949
JENNIFER, N10 (Black, 8TB), 4, Mongolia, 5055424187
LISA, X100L (Black, 4TB), -3, Malta, 2336907
PATRICIA, X100L (Silver, 6TB), -3, United Arab Emirates, 2026889313
SANDRA, FLOW (Silver, 12TB), 4, Colombia, 1856327245
HELEN, N100H (Silver, 8TB), 0, French Polynesia, 68624344
BRENDA, W20 (Silver, 2TB), -2, Hong Kong, 1967385398
MELISSA, Cast-Fi 7 (Silver, 6TB), 4, Lesotho, 1666162860
DEBORAH, N10 (Silver, 4TB), -2, Cuba, 2035460949
BARBARA, W20 (Black, 6TB), 2, Cruise Ship, 3910611679
KAREN, X100L (Black, 6TB), 4, Mongolia, 71281509
CAROL, A10 (Silver, 4TB), -2, Guyana, 63893649
SHIRLEY, A10 (Black, 4TB), -1, Liechtenstein, 2779595522
PATRICIA, FLOW (Black, 6TB), 1, Kyrgyz Republic, 2026889313
LISA, N100H (Silver, 2TB), 2, French Polynesia, 2336907
KAREN, X100L (Black, 8TB), -3, Peru, 71281509
ANGELA, N10 (Black, 6TB), 4, Belgium, 1935113344
PATRICIA, A10 (Silver, 6TB), -2, Iceland, 2026889313
JENNIFER, Cast-Fi 7 (Silver, 6TB), 3, Croatia, 5055424187
RY, Cast-Fi 7 (Black, 2TB), 3, Namibia, 2631
DEBORAH, A10 (Black, 8TB), -2, Nepal, 2035460949
